categoryLabel,category,title,file,url
Anatomy Musculoskeletal,Anatomy_Musculoskeletal,Torque Around A Joint,torque-around-a-joint.html,animations/Anatomy_Musculoskeletal/torque-around-a-joint.html
Anatomy Nervous System,Anatomy_Nervous_System,Cranial Nerves Quiz,cranial-nerves-quiz.html,animations/Anatomy_Nervous_System/cranial-nerves-quiz.html
Cell Biology Chemistry,Cell_Biology_Chemistry,Biomolecule Quiz,biomolecule_quiz.html,animations/Cell_Biology_Chemistry/biomolecule_quiz.html
Cell Biology Chemistry,Cell_Biology_Chemistry,Endosymbiosis,endosymbiosis.html,animations/Cell_Biology_Chemistry/endosymbiosis.html
Cell Biology Chemistry,Cell_Biology_Chemistry,pH Buffers Animation,ph-buffers-animation.html,animations/Cell_Biology_Chemistry/ph-buffers-animation.html
Cell signals Membrane Potentials Neurons,Cell_signals_Membrane_Potentials_Neurons,Cell Signaling Pathways,cell-signaling-pathways.html,animations/Cell_signals_Membrane_Potentials_Neurons/cell-signaling-pathways.html
Cell signals Membrane Potentials Neurons,Cell_signals_Membrane_Potentials_Neurons,Cell To Cell Communication Systems,cell-to-cell-communication-systems.html,animations/Cell_signals_Membrane_Potentials_Neurons/cell-to-cell-communication-systems.html
Cell signals Membrane Potentials Neurons,Cell_signals_Membrane_Potentials_Neurons,Graded Potentials Single File,graded-potentials-single-file.html,animations/Cell_signals_Membrane_Potentials_Neurons/graded-potentials-single-file.html
Cell signals Membrane Potentials Neurons,Cell_signals_Membrane_Potentials_Neurons,Membrane Potential,membrane_potential.html,animations/Cell_signals_Membrane_Potentials_Neurons/membrane_potential.html
Cell signals Membrane Potentials Neurons,Cell_signals_Membrane_Potentials_Neurons,Neuronsummation,NeuronSummation.html,animations/Cell_signals_Membrane_Potentials_Neurons/NeuronSummation.html
Cell signals Membrane Potentials Neurons,Cell_signals_Membrane_Potentials_Neurons,Neurotransmitter Removal,Neurotransmitter_Removal.html,animations/Cell_signals_Membrane_Potentials_Neurons/Neurotransmitter_Removal.html
Cell signals Membrane Potentials Neurons,Cell_signals_Membrane_Potentials_Neurons,Resting Membrane Potential,Resting_membrane_potential.html,animations/Cell_signals_Membrane_Potentials_Neurons/Resting_membrane_potential.html
Cell signals Membrane Potentials Neurons,Cell_signals_Membrane_Potentials_Neurons,Synapses And Drugs,Synapses_and_Drugs.html,animations/Cell_signals_Membrane_Potentials_Neurons/Synapses_and_Drugs.html
Climate Ecology,Climate_Ecology,Adiabatic Lapse Rates,adiabatic_lapse_rates.html,animations/Climate_Ecology/adiabatic_lapse_rates.html
Climate Ecology,Climate_Ecology,Coriolis Effect Global Winds,coriolis-effect-global-winds.html,animations/Climate_Ecology/coriolis-effect-global-winds.html
Climate Ecology,Climate_Ecology,Ocean Acidification Animation,ocean-acidification-animation.html,animations/Climate_Ecology/ocean-acidification-animation.html
Climate Ecology,Climate_Ecology,Tides Animation,tides-animation.html,animations/Climate_Ecology/tides-animation.html
Histology,Histology,Basic Epithelial Tissue Types,basic-epithelial-tissue-types.html,animations/Histology/basic-epithelial-tissue-types.html
Histology,Histology,Tissue Changes Animation,tissue-changes-animation.html,animations/Histology/tissue-changes-animation.html
Histology,Histology,Tissue Dichotomous Key,Tissue-dichotomous-key.html,animations/Histology/Tissue-dichotomous-key.html
Immunity,Immunity,Antibody Functions Animation,antibody-functions-animation.html,animations/Immunity/antibody-functions-animation.html
Immunity,Immunity,Immune Receptor Diversity,immune-receptor-diversity.html,animations/Immunity/immune-receptor-diversity.html
Immunity,Immunity,Interferon Animation,interferon-animation.html,animations/Immunity/interferon-animation.html
Immunity,Immunity,MHC I Vs MHC Ii Animation,mhc-i-vs-mhc-ii-animation.html,animations/Immunity/mhc-i-vs-mhc-ii-animation.html
Life cycles,Life_cycles,Tapeworm Life Cycle,tapeworm-life-cycle.html,animations/Life_cycles/tapeworm-life-cycle.html
Life cycles,Life_cycles,Ulva Life Cycle,ulva-life-cycle.html,animations/Life_cycles/ulva-life-cycle.html
Life cycles,Life_cycles,Viral Life Cycle,viral-life-cycle.html,animations/Life_cycles/viral-life-cycle.html
Microbiology Bacteria,Microbiology_Bacteria,Bacterial Exponential Growth,bacterial_exponential_growth.html,animations/Microbiology_Bacteria/bacterial_exponential_growth.html
Microbiology Bacteria,Microbiology_Bacteria,Bacterial Genera General Characteristics Quiz,bacterial_genera_general_characteristics_quiz.html,animations/Microbiology_Bacteria/bacterial_genera_general_characteristics_quiz.html
